i_idProducto	s_codigoBarra	dc_pvpSugerido	dt_fechaPVPS
4069	7800008020023	3540.0000	2024-02-13 00:00:00
4095	7800008020030	6390.0000	2024-02-13 00:00:00
4097	7800008010505	14990.0000	2024-02-13 00:00:00
4099	7800008010055	5790.0000	2024-02-13 00:00:00
4100	7800008010093	7490.0000	2024-02-13 00:00:00
4103	7800008030053	22390.0000	2024-02-13 00:00:00
4104	7800008020191	8590.0000	2024-02-13 00:00:00
4105	7800008020078	5490.0000	2024-02-13 00:00:00
4170	7800016008709	13990.0000	2024-02-13 00:00:00
4789	7800004227426	3590.0000	2024-02-13 00:00:00
4798	7800004241453	10990.0000	2024-02-13 00:00:00
4803	7800004261550	3990.0000	2024-02-13 00:00:00
4804	7800004261543	3990.0000	2024-02-13 00:00:00
4805	7800004261512	590.0000	2024-02-13 00:00:00
4806	7800004261505	590.0000	2024-02-13 00:00:00
4808	7800004251247	6790.0000	2024-02-13 00:00:00
4815	7800004284450	10090.0000	2024-02-13 00:00:00
4825	7800004303434	16840.0000	2024-02-13 00:00:00
4846	7800004340453	9990.0000	2024-02-13 00:00:00
4848	7800004341436	4190.0000	2024-02-13 00:00:00
4854	7800004348008	16270.0000	2024-02-13 00:00:00
4871	7800004413003	4990.0000	2024-02-13 00:00:00
4878	7800050306007	13690.0000	2024-02-13 00:00:00
4889	7800050300609	3990.0000	2024-02-13 00:00:00
4890	7800050306519	3490.0000	2024-02-13 00:00:00
4893	7800050300906	13590.0000	2024-02-13 00:00:00
4904	7800050000080	12090.0000	2024-02-13 00:00:00
4920	7800050306533	11290.0000	2024-02-13 00:00:00
4931	7800050302702	7790.0000	2024-02-13 00:00:00
5094	7702418004726	4290.0000	2024-02-13 00:00:00
5096	7702418001510	15590.0000	2024-02-13 00:00:00
5099	7800017042399	18760.0000	2024-02-13 00:00:00
5100	7800017043402	31990.0000	2024-02-13 00:00:00
5101	7800017044409	39470.0000	2024-02-13 00:00:00
5103	7501298213699	19290.0000	2024-02-13 00:00:00
5108	4022536980720	13290.0000	2024-02-13 00:00:00
5109	4022536980737	14290.0000	2024-02-13 00:00:00
5112	4022536980713	13250.0000	2024-02-13 00:00:00
5118	3596540040103	12290.0000	2024-02-13 00:00:00
5121	7501298215228	15390.0000	2024-02-13 00:00:00
5137	7800017018219	19990.0000	2024-02-13 00:00:00
5138	7321831621886	27190.0000	2024-02-13 00:00:00
5153	5000455007253	51780.0000	2024-02-13 00:00:00
5167	8427066117718	27990.0000	2024-02-13 00:00:00
5168	7702418001695	45990.0000	2024-02-13 00:00:00
5169	7702418006188	53490.0000	2024-02-13 00:00:00
5170	7702418006195	45790.0000	2024-02-13 00:00:00
5201	7800075200106	6990.0000	2024-02-13 00:00:00
5220	7613032054694	19190.0000	2024-02-13 00:00:00
5720	7800001004662	52590.0000	2024-02-13 00:00:00
5730	7800002009970	58290.0000	2024-02-13 00:00:00
5778	7800068010019	10590.0000	2024-02-13 00:00:00
5780	7800068010118	2990.0000	2024-02-13 00:00:00
5785	7800068010668	9090.0000	2024-02-13 00:00:00
5786	7800068010644	8640.0000	2024-02-13 00:00:00
5790	7800068010811	5240.0000	2024-02-13 00:00:00
5794	7800068030451	1790.0000	2024-02-13 00:00:00
5801	7800068011375	5040.0000	2024-02-13 00:00:00
5802	7800068010217	2430.0000	2024-02-13 00:00:00
5803	7800068011405	7390.0000	2024-02-13 00:00:00
5807	7800068012105	8590.0000	2024-02-13 00:00:00
5811	7800068012051	9040.0000	2024-02-13 00:00:00
5813	7800068012099	8740.0000	2024-02-13 00:00:00
5814	7800068014703	5690.0000	2024-02-13 00:00:00
5816	7800068015939	17490.0000	2024-02-13 00:00:00
5828	7800068013485	12540.0000	2024-02-13 00:00:00
5830	7800068013508	11740.0000	2024-02-13 00:00:00
5831	7800068013461	13890.0000	2024-02-13 00:00:00
5836	7800068014031	13390.0000	2024-02-13 00:00:00
5842	7800068014123	3190.0000	2024-02-13 00:00:00
5843	7800068014130	7090.0000	2024-02-13 00:00:00
5844	7800068014192	10190.0000	2024-02-13 00:00:00
5845	7800068014222	9690.0000	2024-02-13 00:00:00
5852	7800068015830	15140.0000	2024-02-13 00:00:00
5853	7800068015823	11390.0000	2024-02-13 00:00:00
5870	7800001900193	49390.0000	2024-02-13 00:00:00
