RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
32857    A.BAND.KING SEDUCT.ABSOLUTE 100ML                                        $30,990 ACTV   8411061813973
35070    A.BAND.KING SEDUCT.ABSOLUTE 100ML+DES.SP.150ML                           $20,990 ACTV   8411061834855
35784    A.BAND.KING SEDUCT.ABSOLUTE 200ML                                        $30,990 ACTV   8411061829530
32363    A.BAND.KING SEDUCT.ABSOLUTE 50ML                                         $17,990 ACTV   8411061819623
39346    A.BAND.KING SEDUCT.ABSOLUTE 50ML                                         $17,990 ACTV   7807706295968
33590    A.BAND.KING SEDUCT.ABSOLUTE 50ML+AF.SH.                                  $13,990 ACTV   8411061819630
39395    A.BAND.KING SEDUCT.ABSOLUTE 50ML+AF.SH.                                  $13,990 ACTV   8411061876961
30393    A.BAND.KING SEDUCTION 100ML                                              $24,990 ACTV   8411061784273
30277    A.BAND.KING SEDUCTION 100ML+AF.SHAVE100ML                                $20,990 ACTV   8411061784303|8411061807699
32573    A.BAND.KING SEDUCTION 100ML+DES.SP.150ML                                       - ACTV   8411061807712
34535    A.BAND.KING SEDUCTION 200ML                                              $30,990 ACTV   8411061819685
30394    A.BAND.KING SEDUCTION 50ML                                               $17,990 ACTV   7807706295302|8411061784280
32574    A.BAND.KING SEDUCTION 50ML+AFT.SHAVE BALM 100ML                          $13,990 ACTV   8411061807729
30377    A.BAND.KING SEDUCTION 50ML+DES.SP.150ML                                  $13,990 ACTV   8411061784310|8411061807705
39289    A.BAND.KING SEDUCTION 50ML+DES.SP.150ML                                  $13,990 ACTV   8411061956663
31732    A.BAND.MEDITERRANEO 100ML+AF.SHAVE 100ML                                 $13,990 ACTV   8411061808542|8411061833483
39326    A.BAND.MEDITERRANEO 100ML+AF.SHAVE 75ML                                  $13,990 ACTV   8411061919460
17783    A.BAND.MEDITERRANEO 100ML+BILLETERA                                            - ACTV   163440|8411061635421
32572    A.BAND.MEDITERRANEO 100ML+DES.SP.150ML                                   $14,990 ACTV   8411061808511|8411061834350|8411061877838
39352    A.BAND.MEDITERRANEO 100ML+DES.SP.150ML                                   $14,990 ACTV   8411061956915
